energy,efficiency
1.70601e+1, 1.29605e-1
1.71665e+1, 1.35700e-1
1.72729e+1, 1.41655e-1
1.73793e+1, 1.47468e-1
1.74858e+1, 1.53704e-1
1.75922e+1, 1.60644e-1
1.76986e+1, 1.68147e-1
1.78050e+1, 1.75509e-1
1.79115e+1, 1.82871e-1
1.80178e+1, 1.87840e-1
1.81241e+1, 1.87742e-1
1.82304e+1, 1.87644e-1
1.83367e+1, 1.87546e-1
1.84430e+1, 1.87448e-1
1.85493e+1, 1.88195e-1
1.86557e+1, 1.90349e-1
1.87620e+1, 1.93066e-1
1.88683e+1, 1.94939e-1
1.89747e+1, 1.96389e-1
1.90810e+1, 1.99247e-1
1.91873e+1, 1.99149e-1
1.92936e+1, 2.00459e-1
1.94000e+1, 2.02050e-1
1.95063e+1, 2.01530e-1
1.96125e+1, 1.96506e-1
1.97187e+1, 1.90356e-1
1.98249e+1, 1.84346e-1
1.99310e+1, 1.78196e-1
2.00372e+1, 1.71201e-1
2.01434e+1, 1.63784e-1
2.02496e+1, 1.55945e-1
2.03557e+1, 1.48387e-1
2.04619e+1, 1.40689e-1
2.05681e+1, 1.34257e-1
2.06743e+1, 1.28248e-1
2.07805e+1, 1.22520e-1
2.08867e+1, 1.16792e-1
2.09736e+1, 1.12569e-1
